"region2","year","co2","population","gdp","gdp_per_capita","co2_per_capita","accumulated_co2"
"Developing Asia",2008,11888693652,3817857065.33333,11639478.7636667,3046.93375454334,3.11275095226592,183184717902.333
"Developing Asia",2009,12559709610,3865742142.33333,12528532.8503333,3239.56918247828,3.24782844237726,195744427512.333
"Developing Asia",2010,13369050900.6667,3913944846.66667,13453434.1453333,3435.58055290058,3.41436889412404,209113478413
"Developing Asia",2011,14291393796,3962439381.66667,14481594.453,3652.68836277419,3.60483967824599,223404872209
"Developing Asia",2012,15220763982,4011055211.66667,15584529.4276667,3883.65889466233,3.79331560714219,238625636191
"Developing Asia",2013,15885977454.6667,4059353707.33333,16633413.5463333,4095.95444858434,3.91294420911567,254511613645.667
"Developing Asia",2014,16296794513.3333,4106843536.33333,17682164.3873333,4303.91030848875,3.9679806467267,270808408159
"Developing Asia",2015,16559094907.3333,4152761223,18772149.499,4518.82069689359,3.98733364131076,287367503066.333
"Developing Asia",2016,16780373286,4197136707,19926014.9506667,4745.93164480559,3.99809282702216,304147876352.333
"Developing Asia",2017,17040527373.3333,4240305301.33333,21116287.7996667,4978.2853822652,4.01849492604986,321188403725.667
"Developing Asia",2018,17466721647.3333,4282030259,22361458.0896667,5220.61920200603,4.07846740604362,338655125373
"Developing Asia",2019,18027581090,4321973814.66667,23563933.895,5450.76556795453,4.1705373575212,356682706463
"Developing Asia",2020,18351908703.3333,4359508236.33333,24328643.642,5580.19112776318,4.20962394585927,375034615166.333
"Developing Asia",2021,18731994537.3333,4393853473,25266731.0976667,5749.75309275544,4.26305769362087,393766609703.667
"Developing Asia",2022,19059636851.3333,4425459486,26189059.911,5916.54344333379,4.306329579078,412826246555
"developed (excluding eastern block)",1972,8415887136.66667,689136085.666667,12558941.9186667,18219.7881174592,12.2104262822468,16652595390
"developed (excluding eastern block)",1973,8735544896.66667,696034686,13216180.794,18981.9810414712,12.5474522534631,25388140286.6667
"developed (excluding eastern block)",1974,8939596330,702651835.666667,13759512.556,19579.2328200273,12.7223885412803,34327736616.6667
"developed (excluding eastern block)",1975,8944246756.66667,708967195.333333,14090052.6363333,19874.3918465194,12.6182040027334,43271983373.3333
"developed (excluding eastern block)",1976,8963080396.66667,715028850.666667,14373948.884,20100.7185775376,12.5348766564441,52235063770
"developed (excluding eastern block)",1977,9113578566.66667,720850364.666667,14806099.8713333,20536.0590223995,12.6409324912898,61348642336.6667
"developed (excluding eastern block)",1978,9374557713.33333,726446114,15459210.8653333,21276.9989292744,12.9040669585187,70723200050
