"ISO3","ISO2","year","co2","population","gdp","region","unctad_development_status","region2","gdp_per_capita","co2_per_capita","accumulated_co2"
"COK","CK",2001,50074.6666666667,15857.3333333333,228.022,"Asia and Oceania","developing","Developing Asia",14425.8739596586,3.15802135653521,1024698.66666667
"COK","CK",2002,46410.6666666667,15352,243.366,"Asia and Oceania","developing","Developing Asia",15872.6055784307,3.01828894843935,1071109.33333333
"COK","CK",2003,45189.3333333333,15076.3333333333,252.807,"Asia and Oceania","developing","Developing Asia",16772.0389944525,2.99636792802315,1116298.66666667
"COK","CK",2004,47632,15024,260.983,"Asia and Oceania","developing","Developing Asia",17369.8567876123,3.16922149294253,1163930.66666667
"COK","CK",2005,54960,15079,265.504666666667,"Asia and Oceania","developing","Developing Asia",17607.5163908763,3.64370555525383,1218890.66666667
"COK","CK",2006,61066.6666666667,15138.6666666667,270.839,"Asia and Oceania","developing","Developing Asia",17889.7318178417,4.03286362364113,1279957.33333333
"COK","CK",2007,64730.6666666667,15277.6666666667,275.931333333333,"Asia and Oceania","developing","Developing Asia",18058.6603123335,4.23662862132276,1344688
"COK","CK",2008,65952,15560.6666666667,280.871666666667,"Asia and Oceania","developing","Developing Asia",18057.217894334,4.24015891717054,1410640
"COK","CK",2009,65952,15983.6666666667,281.196666666667,"Asia and Oceania","developing","Developing Asia",17606.4065921106,4.12879924902581,1476592
"COK","CK",2010,68394.6666666667,16477.3333333333,275.236666666667,"Asia and Oceania","developing","Developing Asia",16722.833778396,4.14891312237099,1544986.66666667
"COK","CK",2011,73280,16968.6666666667,271.182,"Asia and Oceania","developing","Developing Asia",15996.980366092,4.31262835919323,1618266.66666667
"COK","CK",2012,79386.6666666667,17364,267.950333333333,"Asia and Oceania","developing","Developing Asia",15434.0401553902,4.56879083831407,1697653.33333333
"COK","CK",2013,83050.6666666667,17573.6666666667,269.703,"Asia and Oceania","developing","Developing Asia",15347.0891124446,4.72550402180457,1780704
"COK","CK",2014,83050.6666666667,17599.3333333333,275.601333333333,"Asia and Oceania","developing","Developing Asia",15661.0396751934,4.71874324963201,1863754.66666667
"COK","CK",2015,81829.3333333333,17527.6666666667,286.341333333333,"Asia and Oceania","developing","Developing Asia",16339.4441075695,4.66833825522982,1945584
"COK","CK",2016,78165.3333333333,17436.6666666667,301.646,"Asia and Oceania","developing","Developing Asia",17303.3268087469,4.48207012663697,2023749.33333333
"COK","CK",2017,78165.3333333333,17275,322.124333333333,"Asia and Oceania","developing","Developing Asia",18659.1809469503,4.52567341133875,2101914.66666667
"COK","CK",2018,78165.3333333333,16991.6666666667,343.680333333333,"Asia and Oceania","developing","Developing Asia",20253.7499880095,4.60455515872446,2180080
"COK","CK",2019,81829.3333333333,16590.6666666667,366.127,"Asia and Oceania","developing","Developing Asia",22100.1998472682,4.93684079537051,2261909.33333333
"COK","CK",2020,76944,16122.6666666667,346.02,"Asia and Oceania","developing","Developing Asia",21424.132753641,4.76600650986371,2338853.33333333
"COK","CK",2021,73014.3333333333,15651.3333333333,303.247,"Asia and Oceania","developing","Developing Asia",19293.0194389038,4.65795975772607,2411867.66666667
"COK","CK",2022,67604.6666666667,15182.6666666667,277.221666666667,"Asia and Oceania","developing","Developing Asia",18283.9312572191,4.4568497818685,2479472.33333333
"COL","CO",1972,30025566.6666667,21316813.6666667,53993.3256666667,"America","developing","Developing America",2531.20975609884,1.40793133543521,59032766.6666667
"COL","CO",1973,31779133.3333333,21821344.3333333,57663.8233333333,"America","developing","Developing America",2640.6615982832,1.45567087599685,90811900
"COL","CO",1974,33816800,22326135.3333333,61508.9523333333,"America","developing","Developing America",2753.44918773954,1.51350997642808,124628700
"COL","CO",1975,35278066.6666667,22834495.6666667,64487.782,"America","developing","Developing America",2823.42511021954,1.54474243440095,159906766.666667
