Member,GDP_2015,votes,GDP_2015_share,votes_share
Paraguay,42981.489,3466,0.04706334282599178,0.06875548992551554
Peru,223542.992,14797,0.24477235930202274,0.2935300012775111
Philippines,429942.57,21881,0.4707732337378533,0.4340562247721309
Poland,632272.679,42406,0.692318170998805,0.8412133023027732
Portugal,238306.125,22053,0.26093751331901627,0.4374682110004023
Qatar,175916.241,8803,0.19262260455524916,0.17462624864809964
Romania,240275.085,19566,0.26309346095244196,0.38813327059510594
Russian Federation,1524509.849,130489,1.6692890668605724,2.588527156633179
Rwanda,13643.045,3054,0.01493869381829543,0.0605825926810515
Samoa,851.176,1614,9.320102403445441e-4,0.032017126583895585
San Marino,1609.161,1944,0.0017619793442990254,0.03856337923116048
Sao Tome and Principe,386.74,1600,4.2346781435431566e-4,0.03173940677461768
Saudi Arabia,760166.138,101378,0.83235737964788,2.0110484874982446
Senegal,26803.741,4688,0.02934923105391002,0.0929964618496298
Serbia,51063.467,8000,0.055912847814665476,0.1586970338730884
Seychelles,1903.32,1681,0.0020840739525698304,0.033346214242582696
Sierra Leone,5590.427,3526,0.006121337081753514,0.0699457176795637
Singapore,383043.872,40371,0.419420673521369,0.8008447443113064
Slovak Republic,104578.555,11462,0.11451014147536483,0.22737317528166737
Slovenia,54636.194,7317,0.05982486853653198,0.14514827460617347
Solomon Islands,1410.438,1660,0.0015443840749399399,0.03292963452866584
Somalia,9521.657,3086,0.010425907014587243,0.06121738081654385
South Africa,362629.441,31964,0.3970675306428021,0.6340739988399247
South Sudan,6366.156,3912,0.006970735292854665,0.07760284956394023
Spain,1375076.686,96807,1.5056645777266267,1.9203729697690086
Sri Lanka,85170.768,7240,0.09325924127796062,0.143620815655145
St. Kitts and Nevis,1000.65,1577,0.0010956794446750943,0.031283152802232546
St. Lucia,1974.949,1666,0.0021625053950748343,0.03304865730407066
St. Vincent and the Grenadines,935.822,1569,0.0010246948776042935,0.03112445576835946
Sudan,81251.191,7754,0.08896743100391748,0.1538171000814909
Suriname,4501.69,2741,0.004929205215909085,0.05437357123076691
Sweden,582227.876,45752,0.6375207273772445,0.9075883367201925
Switzerland,798059.708,59163,0.8738496154289791,1.173624076879191
Syrian Arab Republic,19551.017,4388,0.02140773242331817,0.08704532307938899
Tajikistan,14455.678,3192,0.015828500717975296,0.06332011651536226
Tanzania,76465.284,5430,0.08372701734876668,0.10771561174135874
Thailand,461094.517,33571,0.504883609982802,0.6659522655191813
Timor-Leste,1841.232,1708,0.0020160895970399374,0.03388181673190437
