"ISO3","ISO2","year","co2","population","gdp","region","unctad_development_status","region2","gdp_per_capita","co2_per_capita","accumulated_co2"
"KAZ","KZ",2021,261973066.666667,18976655.3333333,216119.194333333,"Asia and Oceania","developing","Developing Asia",11389.003677407,13.8104310310813,6203931766.66667
"KAZ","KZ",2022,260602566.666667,19191235.3333333,219680.470666667,"Asia and Oceania","developing","Developing Asia",11444.766532593,13.5774031387698,6464534333.33333
"KEN","KE",1972,3541233.33333333,11898149,12185.396,"Africa","developing","Africa",1023.64874997069,0.29708780926395,6819800
"KEN","KE",1973,3819833.33333333,12327255,12861.9096666667,"Africa","developing","Africa",1043.00893711435,0.309898684301735,10639633.3333333
"KEN","KE",1974,4241266.66666667,12762419,13510.402,"Africa","developing","Africa",1058.24893146144,0.331624742075262,14880900
"KEN","KE",1975,4608933.33333333,13205420.6666667,13936.388,"Africa","developing","Africa",1055.63016247177,0.348375431981315,19489833.3333333
"KEN","KE",1976,4838500,13652708.3333333,14329.155,"Africa","developing","Africa",1049.89501125407,0.354925448369908,24328333.3333333
"KEN","KE",1977,4873766.66666667,14110507.3333333,14950.5476666667,"Africa","developing","Africa",1058.80839557409,0.345586662173777,29202100
"KEN","KE",1978,4989766.66666667,14589012.3333333,16070.2266666667,"Africa","developing","Africa",1100.21349441116,0.341730966783287,34191866.6666667
"KEN","KE",1979,5132966.66666667,15095127.3333333,17219.2166666667,"Africa","developing","Africa",1140.01720514021,0.340323475462101,39324833.3333333
"KEN","KE",1980,5512933.33333333,15631720,18256.8246666667,"Africa","developing","Africa",1167.64491665855,0.352314367639686,44837766.6666667
"KEN","KE",1981,5913600,16197899.6666667,19054.083,"Africa","developing","Africa",1176.05989902731,0.364296417679363,50751366.6666667
"KEN","KE",1982,5798633.33333333,16794859,19876.744,"Africa","developing","Africa",1183.49815572119,0.346648205727275,56550000
"KEN","KE",1983,5287100,17422304.6666667,20455.1473333333,"Africa","developing","Africa",1174.4243582879,0.305061845185297,61837100
"KEN","KE",1984,4552166.66666667,18078042.6666667,20916.3066666667,"Africa","developing","Africa",1157.61833201047,0.252291919477692,66389266.6666667
"KEN","KE",1985,4244833.33333333,18758266,21436.088,"Africa","developing","Africa",1142.95527080705,0.227078355377964,70634100
"KEN","KE",1986,4078966.66666667,19455405.3333333,22391.6253333333,"Africa","developing","Africa",1150.38026724422,0.209943684658754,74713066.6666667
"KEN","KE",1987,4363666.66666667,20165044.6666667,23693.0323333333,"Africa","developing","Africa",1174.18278284323,0.215759131016866,79076733.3333333
"KEN","KE",1988,4703233.33333333,20889698.3333333,25211.3403333333,"Africa","developing","Africa",1206.20860481645,0.22497454988608,83779966.6666667
"KEN","KE",1989,5046666.66666667,21632006.3333333,26618.267,"Africa","developing","Africa",1229.98660387143,0.233477935445369,88826633.3333333
"KEN","KE",1990,5263500,22392064.6666667,27948.9846666667,"Africa","developing","Africa",1247.90083767652,0.234717549798933,94090133.3333333
"KEN","KE",1991,5280233.33333333,23156102.3333333,28896.706,"Africa","developing","Africa",1248.05655074794,0.228350608661256,99370366.6666667
"KEN","KE",1992,5396600,23912075.6666667,29348.0946666667,"Africa","developing","Africa",1228.05194663686,0.225965876881399,104766966.666667
"KEN","KE",1993,5570866.66666667,24655262.6666667,29441.89,"Africa","developing","Africa",1194.9073926231,0.225475861804062,110337833.333333
"KEN","KE",1994,6143866.66666667,25393765.6666667,29656.837,"Africa","developing","Africa",1168.20452506166,0.241689972970016,116481700
"KEN","KE",1995,6814633.33333333,26134640.3333333,30393.5193333333,"Africa","developing","Africa",1162.82453442104,0.260456065075887,123296333.333333
"KEN","KE",1996,7798200,26875942.3333333,31530.7846666667,"Africa","developing","Africa",1172.88952077525,0.289367875786039,131094533.333333
"KEN","KE",1997,8350466.66666667,27619449,32439.71,"Africa","developing","Africa",1174.63499722792,0.302265262016331,139445000
"KEN","KE",1998,9154066.66666667,28372457.6666667,33273.4553333333,"Africa","developing","Africa",1172.92508361249,0.322586828440815,148599066.666667
"KEN","KE",1999,9413433.33333333,29155588.6666667,33910.252,"Africa","developing","Africa",1163.0919464681,0.322448288061274,158012500
"KEN","KE",2000,10146333.3333333,29984702.6666667,34575.1056666667,"Africa","developing","Africa",1153.43743255456,0.338425125318916,168158833.333333
"KEN","KE",2001,9919100,30872359.3333333,35391.6813333333,"Africa","developing","Africa",1146.50567364667,0.321738262337582,178077933.333333
"KEN","KE",2002,9192466.66666667,31810590.6666667,36038.995,"Africa","developing","Africa",1133.05436004956,0.289951891873592,187270400
"KEN","KE",2003,7955333.33333333,32782429.3333333,36984.0473333333,"Africa","developing","Africa",1128.45719885855,0.243604591516973,195225733.333333
"KEN","KE",2004,7392633.33333333,33779593.6666667,38051.4343333333,"Africa","developing","Africa",1126.24928489773,0.219069312734853,202618366.666667
"KEN","KE",2005,7614033.33333333,34800656,39831.5063333333,"Africa","developing","Africa",1144.01999324007,0.21838889311289,210232400
