Year,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
2012,IN0001.03,"Tropical beverages",111.96,,,-22.4439,,
2012,IN0001.04,"Vegetable oilseeds and oils",152.13,,,0.7283,,
2012,IN0001.06,"Agricultural raw materials",143.39,,,-19.1714,,
2012,IN0001.07,"Minerals, ores and metals",152.88,,,-6.928,,
2012,IN0001.08,"Minerals, ores and non-precious metals",158.81,,,-16.7881,,
2012,IN0001.09,"Precious metals",148.19,,,3.4485,,
2012,IN0001.10,"Fuels",196.67,,,-0.5109,,
2012,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2012,IN0001.05,"Tropical beverages and food",123.56,,,-9.9351,,
2012,IN0001.22,"All groups excl. fuels",144.77,,,-8.1292,,
2012,IN0001.23,"All groups excl. precious metals",180.73,,,-3.6826,,
2012,IN0001.24,"All groups excl. precious metals and fuels",143.24,,,-12.6745,,
2013,IN0001.20,"All groups",170.25,,,-3.7483,,
2013,IN0001.01,"All food",119.5,,,-9.6067,,
2013,IN0001.02,"Food",119.66,,,-6.0459,,
2013,IN0001.03,"Tropical beverages",89.82,,,-19.7749,,
2013,IN0001.04,"Vegetable oilseeds and oils",136.1,,,-10.537,,
2013,IN0001.06,"Agricultural raw materials",130.81,,,-8.7733,,
2013,IN0001.07,"Minerals, ores and metals",138.41,,,-9.4649,,
2013,IN0001.08,"Minerals, ores and non-precious metals",155.67,,,-1.9772,,
2013,IN0001.09,"Precious metals",124.78,,,-15.7973,,
2013,IN0001.10,"Fuels",194.39,,,-1.1593,,
2013,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2013,IN0001.05,"Tropical beverages and food",112.31,,,-9.1049,,
2013,IN0001.22,"All groups excl. fuels",131.11,,,-9.4357,,
2013,IN0001.23,"All groups excl. precious metals",176.36,,,-2.418,,
2013,IN0001.24,"All groups excl. precious metals and fuels",133.96,,,-6.4786,,
2014,IN0001.20,"All groups",156.82,,,-7.8884,,
2014,IN0001.01,"All food",118.54,,,-0.8033,,
2014,IN0001.02,"Food",118.23,,,-1.1951,,
2014,IN0001.03,"Tropical beverages",111.48,,,24.1149,,
2014,IN0001.04,"Vegetable oilseeds and oils",123.1,,,-9.5518,,
2014,IN0001.06,"Agricultural raw materials",115.34,,,-11.8263,,
2014,IN0001.07,"Minerals, ores and metals",120.72,,,-12.7809,,
2014,IN0001.08,"Minerals, ores and non-precious metals",132.98,,,-14.5757,,
2014,IN0001.09,"Precious metals",111.04,,,-11.0114,,
2014,IN0001.10,"Fuels",179.87,,,-7.4695,,
2014,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2014,IN0001.05,"Tropical beverages and food",116.57,,,3.7931,,
2014,IN0001.22,"All groups excl. fuels",119.44,,,-8.9009,,
2014,IN0001.23,"All groups excl. precious metals",162.97,,,-7.5924,,
2014,IN0001.24,"All groups excl. precious metals and fuels",123.23,,,-8.0099,,
2015,IN0001.20,"All groups",100,,,-36.2326,,
2015,IN0001.01,"All food",100,,,-15.6403,,
2015,IN0001.02,"Food",100,,,-15.4191,,
2015,IN0001.03,"Tropical beverages",100,,,-10.2978,,
2015,IN0001.04,"Vegetable oilseeds and oils",100,,,-18.7652,,
2015,IN0001.06,"Agricultural raw materials",100,,,-13.2998,,
2015,IN0001.07,"Minerals, ores and metals",100,,,-17.1637,,
2015,IN0001.08,"Minerals, ores and non-precious metals",100,,,-24.8007,,
2015,IN0001.09,"Precious metals",100,,,-9.9424,,
2015,IN0001.10,"Fuels",100,,,-44.4043,,
2015,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2015,IN0001.05,"Tropical beverages and food",100,,,-14.2146,,
2015,IN0001.22,"All groups excl. fuels",100,,,-16.276,,
2015,IN0001.23,"All groups excl. precious metals",100,,,-38.639,,
2015,IN0001.24,"All groups excl. precious metals and fuels",100,,,-18.8509,,
2016,IN0001.20,"All groups",90.63,,,-9.37,,
2016,IN0001.01,"All food",103.63,,,3.63,,
2016,IN0001.02,"Food",103.97,,,3.97,,
2016,IN0001.03,"Tropical beverages",96.69,,,-3.31,,
2016,IN0001.04,"Vegetable oilseeds and oils",107,,,7,,
2016,IN0001.06,"Agricultural raw materials",99.64,,,-0.36,,
2016,IN0001.07,"Minerals, ores and metals",104.6,,,4.6,,
2016,IN0001.08,"Minerals, ores and non-precious metals",101.42,,,1.42,,
2016,IN0001.09,"Precious metals",107.12,,,7.12,,
2016,IN0001.10,"Fuels",82.52,,,-17.48,,
2016,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2016,IN0001.05,"Tropical beverages and food",102.18,,,2.18,,
2016,IN0001.22,"All groups excl. fuels",103.79,,,3.79,,
2016,IN0001.23,"All groups excl. precious metals",88.41,,,-11.59,,
2016,IN0001.24,"All groups excl. precious metals and fuels",102.28,,,2.28,,
2017,IN0001.20,"All groups",106.36,,,17.3563,,
2017,IN0001.01,"All food",102.3,,,-1.2834,,
2017,IN0001.02,"Food",102.73,,,-1.1927,,
2017,IN0001.03,"Tropical beverages",93.67,,,-3.1234,,
2017,IN0001.04,"Vegetable oilseeds and oils",106.45,,,-0.514,,
2017,IN0001.06,"Agricultural raw materials",104.93,,,5.3091,,
2017,IN0001.07,"Minerals, ores and metals",116.37,,,11.2524,,
2017,IN0001.08,"Minerals, ores and non-precious metals",127.5,,,25.7148,,
2017,IN0001.09,"Precious metals",107.58,,,0.4294,,
2017,IN0001.10,"Fuels",103.89,,,25.8968,,
2017,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2017,IN0001.05,"Tropical beverages and food",100.5,,,-1.6442,,
2017,IN0001.22,"All groups excl. fuels",110.38,,,6.3494,,
2017,IN0001.23,"All groups excl. precious metals",106.2,,,20.1222,,
2017,IN0001.24,"All groups excl. precious metals and fuels",111.63,,,9.1416,,
2018,IN0001.20,"All groups",123.42,,,16.0399,,
2018,IN0001.01,"All food",95.64,,,-6.5103,,
2018,IN0001.02,"Food",96.46,,,-6.1034,,
2018,IN0001.03,"Tropical beverages",85.68,,,-8.5299,,
2018,IN0001.04,"Vegetable oilseeds and oils",99.87,,,-6.1813,,
2018,IN0001.06,"Agricultural raw materials",103.09,,,-1.7535,,
2018,IN0001.07,"Minerals, ores and metals",117.83,,,1.2546,,
2018,IN0001.08,"Minerals, ores and non-precious metals",130.83,,,2.6118,,
2018,IN0001.09,"Precious metals",107.55,,,-0.0279,,
2018,IN0001.10,"Fuels",132.51,,,27.5484,,
2018,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2018,IN0001.05,"Tropical beverages and food",93.8,,,-6.6667,,
2018,IN0001.22,"All groups excl. fuels",108.69,,,-1.5311,,
2018,IN0001.23,"All groups excl. precious metals",125.55,,,18.2203,,
2018,IN0001.24,"All groups excl. precious metals and fuels",109.2,,,-2.1768,,
2019,IN0001.20,"All groups",114.23,,,-7.4461,,
2019,IN0001.01,"All food",93.76,,,-1.9657,,
2019,IN0001.02,"Food",98.25,,,1.8557,,
2019,IN0001.03,"Tropical beverages",81.32,,,-5.0887,,
2019,IN0001.04,"Vegetable oilseeds and oils",93.02,,,-6.8589,,
2019,IN0001.06,"Agricultural raw materials",99.05,,,-3.9189,,
2019,IN0001.07,"Minerals, ores and metals",125.12,,,6.1869,,
2019,IN0001.08,"Minerals, ores and non-precious metals",135.3,,,3.4166,,
2019,IN0001.09,"Precious metals",117.07,,,8.8517,,
2019,IN0001.10,"Fuels",115.78,,,-12.6255,,
2019,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2019,IN0001.05,"Tropical beverages and food",94.08,,,0.2985,,
2019,IN0001.22,"All groups excl. fuels",111.7,,,2.7693,,
2019,IN0001.23,"All groups excl. precious metals",113.84,,,-9.327,,
2019,IN0001.24,"All groups excl. precious metals and fuels",109.28,,,0.0733,,
2020,IN0001.20,"All groups",96.14,,,-15.8365,,
2020,IN0001.01,"All food",99.99,,,6.6446,,
2020,IN0001.02,"Food",101.53,,,3.3384,,
2020,IN0001.03,"Tropical beverages",85.22,,,4.7959,,
2020,IN0001.04,"Vegetable oilseeds and oils",105.72,,,13.653,,
2020,IN0001.06,"Agricultural raw materials",96.97,,,-2.0999,,
2020,IN0001.07,"Minerals, ores and metals",144.56,,,15.5371,,
2020,IN0001.08,"Minerals, ores and non-precious metals",140.33,,,3.7177,,
2020,IN0001.09,"Precious metals",147.9,,,26.3347,,
2020,IN0001.10,"Fuels",78.68,,,-32.0435,,
2020,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2020,IN0001.05,"Tropical beverages and food",97.51,,,3.6458,,
2020,IN0001.22,"All groups excl. fuels",124.47,,,11.4324,,
2020,IN0001.23,"All groups excl. precious metals",89.19,,,-21.6532,,
2020,IN0001.24,"All groups excl. precious metals and fuels",113.92,,,4.246,,
2021,IN0001.20,"All groups",148.73,,,54.7015,,
2021,IN0001.01,"All food",129.83,,,29.843,,
2021,IN0001.02,"Food",120.67,,,18.8516,,
2021,IN0001.03,"Tropical beverages",109.33,,,28.2915,,
2021,IN0001.04,"Vegetable oilseeds and oils",157.43,,,48.9122,,
2021,IN0001.06,"Agricultural raw materials",110.03,,,13.4681,,
2021,IN0001.07,"Minerals, ores and metals",174.55,,,20.7457,,
2021,IN0001.08,"Minerals, ores and non-precious metals",201.47,,,43.5687,,
2021,IN0001.09,"Precious metals",153.28,,,3.6376,,
2021,IN0001.10,"Fuels",146.23,,,85.8541,,
2021,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2021,IN0001.05,"Tropical beverages and food",117.87,,,20.8799,,
2021,IN0001.22,"All groups excl. fuels",152.77,,,22.7364,,
2021,IN0001.23,"All groups excl. precious metals",148.11,,,66.0612,,
